start,end,today,deviceid,phonenumber,Category,District,Tehsil,Area_Union Council,Gender,Age,Employ_No,Buy,Buy_CA,Buy_PHC,Buy_WS,Buy_Retailer,Buy_Mandi,Buy_Farmer,Buy_Other,Buy_OtherTxt,CA_Loc,CA_Peshawar,CA_Faisalabad,CA_Islamabad,CA_Rawalpindi,CA_Sargodha,CA_Sialkot,CA_Lahore,CA_Gujranwala,CA_Multan,CA_Hafizabad,CA_D.I. Khan,CA_Quetta,CA_Sukkur,CA_Khairpur,CA_Hyderabad,CA_Karachi,CA_Jacobabad,CA_Other,CA_OtherTxt,cc_sell,NA,Sell_WS,Sell_Retail,Sell_SM,Sell_Mandi,Sell_Other,Sell_OtherTxt,ECU,SemiProc,SemiProc_Wash,SemiProc_Grading,SemiProc_Waxing,SemiProc_NP,SemiProc_DK,QualCont,StorageCap,Capacity,Profit,Profit_Avg,Profit_DK,Profit_NA,Profit_AvgVal,Coord,Coord_Lat,Coord_Lon,Coord_Alt,Coord_Prec,Comments,Enumerator,_id,_uuid,_submission_time,_validation_status,_index,Sell
4/18/20 5:42,4/18/20 5:48,4/18/20,290c801f12cdf685,,Cold Storage Facility,Quetta,Quetta City,Hazarganji,Male,>40 years,5,Farmer,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,Other,0,0,0,0,0,1,Farmers,No,No semi-processing,0,0,0,1,0,No,35000,90% - 100%,Average,1,0,0,2000000,30.083734849467874 66.93234524689615 1708.0 11.5,30.08373485,66.93234525,1708,11.5,,Abdul Hakeem,50969408,bc6011c3-e290-4100-91d5-6896c21976b2,4/18/20 5:51,,196,
4/18/20 5:56,4/18/20 6:00,4/18/20,290c801f12cdf685,,Cold Storage Facility,Quetta,Quetta City,Hazarganji,Male,>40 years,6,Farmer,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,Other,0,0,0,0,0,1,Farmers,Yes,No semi-processing,0,0,0,1,0,No,40000,90% - 100%,Don't Know,0,1,0,,30.075401728972793 66.93440250121057 1726.0 5.5,30.07540173,66.9344025,1726,5.5,,Abdul Hakeem,50970355,0e6b93dd-2c1b-4427-a366-9e0d5951d573,4/18/20 6:11,,197,
4/18/20 6:00,4/18/20 6:07,4/18/20,290c801f12cdf685,,Cold Storage Facility,Quetta,Quetta City,Hazarganji,Male,>40 years,10,Farmer Commission Agent (Arthi),1,0,0,0,0,1,0,,Quetta,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Other Commission Agent,1,0,0,0,0,1,Farmers,Yes,No semi-processing,0,0,0,1,0,No,60000,90% - 100%,Don't Know,0,1,0,,30.07701650261879 66.93487666547298 1733.0 7.0,30.0770165,66.93487667,1733,7,,Abdul Hakeem,50970357,0638e63a-c9ad-4601-87e3-58b1c6cc05ad,4/18/20 6:11,,198,
4/18/20 6:13,4/18/20 6:15,4/18/20,290c801f12cdf685,,Cold Storage Facility,Quetta,Quetta City,Hazarganji,Male,>40 years,4,Commission Agent (Arthi),1,0,0,0,0,0,0,,Quetta,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Commission Agent,1,0,0,0,0,0,,No,No semi-processing,0,0,0,1,0,No,30000,90% - 100%,Not Answered,0,0,1,,30.08052613120526 66.93960808217525 1716.0 4.5,30.08052613,66.93960808,1716,4.5,,Abdul Hakeem,50970660,7d7c3403-bcc2-4b44-bf77-6f1828ebb48e,4/18/20 6:19,,199,
4/18/20 7:23,4/18/20 7:28,4/18/20,290c801f12cdf685,,Cold Storage Facility,Quetta,Quetta City,Mastung link road,Male,>40 years,12,Commission Agent (Arthi) Farmer,1,0,0,0,0,1,0,,Quetta,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Commission Agent Other,1,0,0,0,0,1,Farmers,No,No semi-processing,0,0,0,1,0,No,90000,90% - 100%,Average,1,0,0,4000000,30.088630383834243 66.96988879702985 1685.0 5.0,30.08863038,66.9698888,1685,5,,Abdul Hakeem,50973050,71860363-f257-41b5-97ba-32cf2e050435,4/18/20 7:31,,202,
5/2/20 10:57,5/2/20 11:05,5/2/20,3.5328E+14,,Cold Storage Facility,Quetta,Quetta City,kuchlak,Male,25-40 years,2,Pre-harvest Contractor (Thakaydaar) Commission Agent (Arthi),1,1,0,0,0,0,0,,Quetta,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Commission Agent Other,1,0,0,0,0,1,farmer,No,No semi-processing,0,0,0,1,0,No,80000,<50%,Not Answered,0,0,1,,30.33048119 66.9383192 1553.0 4.0,30.33048119,66.9383192,1553,4,,Naveed Ahmed,51912257,d941d26f-2cc2-4763-83c1-6e2f0a2dabb5,5/2/20 11:05,,299,
5/2/20 11:19,5/2/20 11:31,5/2/20,3.5328E+14,,Cold Storage Facility,Quetta,Quetta City,westerns Bipas,Male,>40 years,4,Pre-harvest Contractor (Thakaydaar) Farmer,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,Other,0,0,0,0,0,1,farmer and pre harvest contractor,No,No semi-processing,0,0,0,1,0,No,35000,<50%,Not Answered,0,0,1,,30.2437381 66.95867072 1554.0 4.0,30.2437381,66.95867072,1554,4,,Naveed Ahmed,51913477,f24cd4f2-0ff8-4533-84aa-edb66fdcf2dd,5/2/20 11:31,,300,
3/20/20 6:05,3/20/20 6:31,3/20/20,290c801f12cdf685,,Cold Storage Facility,Killah Abdullah,Killah Abdullah,Mazi ada,Male,>40 years,8,Pre-harvest Contractor (Thakaydaar) Farmer,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,No,No semi-processing,0,0,0,1,0,No,95000,90% - 100%,Average,1,0,0,2000000,30.676727718673646 66.718540918082 1461.0 4.5,30.67672772,66.71854092,1461,4.5,,Abdul Hakeem,49356423,d052b313-9be5-43d6-b1d1-2e646b2bea13,3/20/20 6:33,,2,Mandi
3/20/20 5:57,3/20/20 6:04,3/20/20,290c801f12cdf685,,Cold Storage Facility,Killah Abdullah,Killah Abdullah,Mazi Ada,Male,>40 years,10,Commission Agent (Arthi) Farmer Pre-harvest Contractor (Thakaydaar),1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,Yes,No semi-processing,0,0,0,1,0,No,93000,90% - 100%,Average,1,0,0,1500000,30.676724910736084 66.71834276989102 1443.0 5.0,30.67672491,66.71834277,1443,5,,Abdul Hakeem,49355747,cdfd5af8-9860-4d69-a227-f51e2f94fd6b,3/20/20 6:21,,4,Mandi
3/20/20 6:23,3/20/20 6:43,3/20/20,290c801f12cdf685,,Cold Storage Facility,Killah Abdullah,Killah Abdullah,Mazi Ada,Male,>40 years,8,Farmer Commission Agent (Arthi) Pre-harvest Contractor (Thakaydaar),1,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,No,No semi-processing,0,0,0,1,0,No,85000,90% - 100%,Average,1,0,0,1550000,30.67669440060854 66.71851426362991 1467.0 5.0,30.6766944,66.71851426,1467,5,,Abdul Hakeem,49356992,bd488d76-5406-4cbc-9c98-3a8c34bd4864,3/20/20 6:45,,5,Mandi
3/20/20 6:22,3/20/20 6:37,3/20/20,290c801f12cdf685,,Cold Storage Facility,Killah Abdullah,Killah Abdullah,Mazi Ada,Male,>40 years,10,Pre-harvest Contractor (Thakaydaar) Mandi Commission Agent (Arthi),1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,No,No semi-processing,0,0,0,1,0,No,85000,90% - 100%,Average,1,0,0,1300000,30.67670584190637 66.71852180734277 1448.0 5.0,30.67670584,66.71852181,1448,5,,Abdul Hakeem,49356744,158e7285-d2f9-4a7d-9c3b-5b37fb8b77c7,3/20/20 6:40,,56,Mandi
3/21/20 12:11,3/21/20 12:33,3/21/20,3.5328E+14,,Cold Storage Facility,Killah Abdullah,Gulistan,Gulistan,Male,>40 years,15,Farmer Pre-harvest Contractor (Thakaydaar),0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,,Yes,No semi-processing,0,0,0,1,0,No,1000,90% - 100%,Don't Know,0,1,0,,30.58088565 66.59758635 1449.0 5.0,30.58088565,66.59758635,1449,5,,Naveed Ahmed,49450618,bfe72e55-3613-43ec-a78b-0df324cd60a4,3/21/20 12:33,,214,Mandi
